model,accuracy,macro_f1,weighted_f1,ckpt_size_mb
MobileNetV2 Grayscale Adaptive,0.9684981684981685,0.964562051682497,0.9670553496028427,8.751508712768555
MobileNetV2 Grayscale MaxPool,0.9531135531135531,0.945655053290752,0.9491415045397598,8.75090217590332
MobileNetV2 RGB Clean,0.8857142857142857,0.8308823529411764,0.8487394957983193,8.753341674804688
MobileNetV2 RGB With Noise,0.884981684981685,0.8257769310875429,0.8431675409440923,8.753341674804688
